
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2025-04-21 06:00 | $    87,550 | Cap: $   463,045 | RSI>75
  SELL | 2025-05-03 12:00 | $    95,942 | Cap: $   507,429 | RSI<30
   BUY | 2025-05-08 16:00 | $   100,758 | Cap: $   507,429 | RSI>75
  SELL | 2025-05-23 21:00 | $   108,237 | Cap: $   545,091 | RSI<30
   BUY | 2025-05-26 08:00 | $   110,095 | Cap: $   545,091 | RSI>75
  SELL | 2025-05-28 14:00 | $   108,068 | Cap: $   535,060 | RSI<30
   BUY | 2025-06-06 18:00 | $   104,922 | Cap: $   535,060 | RSI>75
  SELL | 2025-06-12 06:00 | $   107,747 | Cap: $   549,465 | RSI<30
   BUY | 2025-06-16 18:00 | $   107,755 | Cap: $   549,465 | RSI>75
  SELL | 2025-06-17 15:00 | $   104,847 | Cap: $   534,638 | RSI<30
   BUY | 2025-06-20 13:00 | $   105,983 | Cap: $   534,638 | RSI>75
  SELL | 2025-06-21 05:00 | $   103,385 | Cap: $   521,533 | RSI<30
   BUY | 2025-07-02 17:00 | $   109,413 | Cap: $   521,533 | RSI>75
  SELL | 2025-07-04 15:00 | $   107,810 | Cap: $   513,892 | RSI<30
   BUY | 2025-07-10 18:00 | $   113,723 | Cap: $   513,892 | RSI>75
  SELL | 2025-07-15 03:00 | $   118,251 | Cap: $   534,354 | RSI<30
   BUY | 2025-07-26 12:00 | $   117,776 | Cap: $   534,354 | RSI>75
  SELL | 2025-08-01 | $   115,764 | Cap: $   525,225 | RSI<30
   BUY | 2025-08-03 17:00 | $   113,995 | Cap: $   525,225 | RSI>75
  SELL | 2025-08-12 | $   118,686 | Cap: $   546,838 | RSI<30
   BUY | 2025-08-14 01:00 | $   123,848 | Cap: $   546,838 | RSI>75
  SELL | 2025-08-14 17:00 | $   117,866 | Cap: $   520,428 | RSI<30
   BUY | 2025-08-22 17:00 | $   116,146 | Cap: $   520,428 | RSI>75
  SELL | 2025-08-23 15:00 | $   114,621 | Cap: $   513,594 | RSI<30
   BUY | 2025-09-10 13:00 | $   113,414 | Cap: $   513,594 | RSI>75
  SELL | 2025-09-19 13:00 | $   116,162 | Cap: $   526,043 | RSI<30
   BUY | 2025-09-28 22:00 | $   110,834 | Cap: $   526,043 | RSI>75
  SELL | 2025-10-07 16:00 | $   121,846 | Cap: $   578,309 | RSI<30
   BUY | 2025-10-12 22:00 | $   114,882 | Cap: $   578,309 | RSI>75
  SELL | 2025-10-14 11:00 | $   110,624 | Cap: $   556,872 | RSI<30
   BUY | 2025-10-20 06:00 | $   111,034 | Cap: $   556,872 | RSI>75
  SELL | 2025-10-21 05:00 | $   107,780 | Cap: $   540,551 | RSI<30
   BUY | 2025-10-25 13:00 | $   111,899 | Cap: $   540,551 | RSI>75
  SELL | 2025-10-29 15:00 | $   112,488 | Cap: $   543,399 | RSI<30
   BUY | 2025-11-10 | $   104,723 | Cap: $   543,399 | RSI>75
  SELL | 2025-11-11 18:00 | $   103,339 | Cap: $   536,217 | RSI<30
   BUY | 2025-11-27 07:00 | $    91,245 | Cap: $   536,217 | RSI>75
  SELL | 2025-11-29 11:00 | $    90,552 | Cap: $   532,150 | RSI<30
   BUY | 2025-12-02 14:00 | $    87,731 | Cap: $   532,150 | RSI>75
  SELL | 2025-12-05 17:00 | $    88,811 | Cap: $   538,698 | RSI<30
   BUY | 2025-12-18 16:00 | $    88,513 | Cap: $   538,698 | RSI>75
  SELL | 2025-12-23 07:00 | $    87,400 | Cap: $   531,921 | RSI<30
   BUY | 2025-12-29 03:00 | $    89,163 | Cap: $   531,921 | RSI>75
  SELL | 2025-12-30 01:00 | $    87,250 | Cap: $   520,509 | RSI<30
   BUY | 2025-12-30 16:00 | $    89,016 | Cap: $   520,509 | RSI>75
  SELL | 2026-01-06 17:00 | $    92,692 | Cap: $   542,003 | RSI<30
   BUY | 2026-01-13 19:00 | $    93,634 | Cap: $   542,003 | RSI>75
  SELL | 2026-01-16 15:00 | $    95,192 | Cap: $   551,026 | RSI<30
   BUY | 2026-02-13 16:00 | $    68,692 | Cap: $   551,026 | RSI>75
  SELL | 2026-02-16 06:00 | $    68,385 | Cap: $   548,564 | RSI<30

  ======================================================================
  [Last 1Y Summary] 2025-02-17 ~ 2026-02-17
  Return: 3.0%  |  Sharpe: 0.243  |  MaxDD: -18.0%  |  Trades: 33
  Win rate: 39% (13W/20L)  |  Avg win: +3.9%  |  Avg loss: -2.3%
  ----------------------------------------------------------------------
   BUY | 2025-02-21 13:00 | $    98,904 | Cap: $   532,566 | RSI>75
  SELL | 2025-02-21 20:00 | $    95,285 | Cap: $   513,080 | RSI<30
   BUY | 2025-02-22 18:00 | $    96,639 | Cap: $   513,080 | RSI>75
  SELL | 2025-02-23 17:00 | $    95,421 | Cap: $   506,608 | RSI<30
   BUY | 2025-03-01 04:00 | $    85,331 | Cap: $   506,608 | RSI>75
  SELL | 2025-03-03 19:00 | $    87,133 | Cap: $   517,307 | RSI<30
   BUY | 2025-03-05 11:00 | $    89,926 | Cap: $   517,307 | RSI>75
  SELL | 2025-03-08 12:00 | $    85,956 | Cap: $   494,468 | RSI<30
   BUY | 2025-03-14 15:00 | $    83,525 | Cap: $   494,468 | RSI>75
  SELL | 2025-03-16 12:00 | $    82,410 | Cap: $   487,868 | RSI<30
   BUY | 2025-03-19 15:00 | $    84,319 | Cap: $   487,868 | RSI>75
  SELL | 2025-03-28 12:00 | $    85,255 | Cap: $   493,288 | RSI<30
   BUY | 2025-04-01 17:00 | $    85,120 | Cap: $   493,288 | RSI>75
  SELL | 2025-04-03 13:00 | $    81,949 | Cap: $   474,912 | RSI<30
   BUY | 2025-04-13 | $    85,277 | Cap: $   474,912 | RSI>75
  SELL | 2025-04-16 01:00 | $    83,146 | Cap: $   463,045 | RSI<30
   BUY | 2025-04-21 06:00 | $    87,550 | Cap: $   463,045 | RSI>75
  SELL | 2025-05-03 12:00 | $    95,942 | Cap: $   507,429 | RSI<30
   BUY | 2025-05-08 16:00 | $   100,758 | Cap: $   507,429 | RSI>75
  SELL | 2025-05-23 21:00 | $   108,237 | Cap: $   545,091 | RSI<30
   BUY | 2025-05-26 08:00 | $   110,095 | Cap: $   545,091 | RSI>75
  SELL | 2025-05-28 14:00 | $   108,068 | Cap: $   535,060 | RSI<30
   BUY | 2025-06-06 18:00 | $   104,922 | Cap: $   535,060 | RSI>75
  SELL | 2025-06-12 06:00 | $   107,747 | Cap: $   549,465 | RSI<30
   BUY | 2025-06-16 18:00 | $   107,755 | Cap: $   549,465 | RSI>75
  SELL | 2025-06-17 15:00 | $   104,847 | Cap: $   534,638 | RSI<30
   BUY | 2025-06-20 13:00 | $   105,983 | Cap: $   534,638 | RSI>75
  SELL | 2025-06-21 05:00 | $   103,385 | Cap: $   521,533 | RSI<30
   BUY | 2025-07-02 17:00 | $   109,413 | Cap: $   521,533 | RSI>75
  SELL | 2025-07-04 15:00 | $   107,810 | Cap: $   513,892 | RSI<30
   BUY | 2025-07-10 18:00 | $   113,723 | Cap: $   513,892 | RSI>75
  SELL | 2025-07-15 03:00 | $   118,251 | Cap: $   534,354 | RSI<30
   BUY | 2025-07-26 12:00 | $   117,776 | Cap: $   534,354 | RSI>75
  SELL | 2025-08-01 | $   115,764 | Cap: $   525,225 | RSI<30
   BUY | 2025-08-03 17:00 | $   113,995 | Cap: $   525,225 | RSI>75
  SELL | 2025-08-12 | $   118,686 | Cap: $   546,838 | RSI<30
   BUY | 2025-08-14 01:00 | $   123,848 | Cap: $   546,838 | RSI>75
  SELL | 2025-08-14 17:00 | $   117,866 | Cap: $   520,428 | RSI<30
   BUY | 2025-08-22 17:00 | $   116,146 | Cap: $   520,428 | RSI>75
  SELL | 2025-08-23 15:00 | $   114,621 | Cap: $   513,594 | RSI<30
   BUY | 2025-09-10 13:00 | $   113,414 | Cap: $   513,594 | RSI>75
  SELL | 2025-09-19 13:00 | $   116,162 | Cap: $   526,043 | RSI<30
   BUY | 2025-09-28 22:00 | $   110,834 | Cap: $   526,043 | RSI>75
  SELL | 2025-10-07 16:00 | $   121,846 | Cap: $   578,309 | RSI<30
   BUY | 2025-10-12 22:00 | $   114,882 | Cap: $   578,309 | RSI>75
  SELL | 2025-10-14 11:00 | $   110,624 | Cap: $   556,872 | RSI<30
   BUY | 2025-10-20 06:00 | $   111,034 | Cap: $   556,872 | RSI>75
  SELL | 2025-10-21 05:00 | $   107,780 | Cap: $   540,551 | RSI<30
   BUY | 2025-10-25 13:00 | $   111,899 | Cap: $   540,551 | RSI>75
  SELL | 2025-10-29 15:00 | $   112,488 | Cap: $   543,399 | RSI<30
   BUY | 2025-11-10 | $   104,723 | Cap: $   543,399 | RSI>75
  SELL | 2025-11-11 18:00 | $   103,339 | Cap: $   536,217 | RSI<30
   BUY | 2025-11-27 07:00 | $    91,245 | Cap: $   536,217 | RSI>75
  SELL | 2025-11-29 11:00 | $    90,552 | Cap: $   532,150 | RSI<30
   BUY | 2025-12-02 14:00 | $    87,731 | Cap: $   532,150 | RSI>75
  SELL | 2025-12-05 17:00 | $    88,811 | Cap: $   538,698 | RSI<30
   BUY | 2025-12-18 16:00 | $    88,513 | Cap: $   538,698 | RSI>75
  SELL | 2025-12-23 07:00 | $    87,400 | Cap: $   531,921 | RSI<30
   BUY | 2025-12-29 03:00 | $    89,163 | Cap: $   531,921 | RSI>75
  SELL | 2025-12-30 01:00 | $    87,250 | Cap: $   520,509 | RSI<30
   BUY | 2025-12-30 16:00 | $    89,016 | Cap: $   520,509 | RSI>75
  SELL | 2026-01-06 17:00 | $    92,692 | Cap: $   542,003 | RSI<30
   BUY | 2026-01-13 19:00 | $    93,634 | Cap: $   542,003 | RSI>75
  SELL | 2026-01-16 15:00 | $    95,192 | Cap: $   551,026 | RSI<30
   BUY | 2026-02-13 16:00 | $    68,692 | Cap: $   551,026 | RSI>75
  SELL | 2026-02-16 06:00 | $    68,385 | Cap: $   548,564 | RSI<30
  ======================================================================

--- RevRSI Base (269 entries, 4773%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
  SELL | 2018-01-08 10:00 | $    14,650 | Cap: $     9,867 | RSI<30
   BUY | 2018-02-10 06:00 | $     8,843 | Cap: $     9,867 | RSI>75
  SELL | 2018-02-21 04:00 | $    10,919 | Cap: $    12,183 | RSI<30
   BUY | 2018-02-27 04:00 | $    10,270 | Cap: $    12,183 | RSI>75
  SELL | 2018-03-06 11:00 | $    10,948 | Cap: $    12,987 | RSI<30
   BUY | 2018-03-19 14:00 | $     8,534 | Cap: $    12,987 | RSI>75
  SELL | 2018-03-25 12:00 | $     8,408 | Cap: $    12,795 | RSI<30
   BUY | 2018-04-03 18:00 | $     7,426 | Cap: $    12,795 | RSI>75
  SELL | 2018-04-04 14:00 | $     7,075 | Cap: $    12,190 | RSI<30
   BUY | 2018-04-07 08:00 | $     6,864 | Cap: $    12,190 | RSI>75
  SELL | 2018-04-09 20:00 | $     6,677 | Cap: $    11,858 | RSI<30
   BUY | 2018-04-12 12:00 | $     7,686 | Cap: $    11,858 | RSI>75
  SELL | 2018-04-16 21:00 | $     7,974 | Cap: $    12,303 | RSI<30
   BUY | 2018-04-20 23:00 | $     8,824 | Cap: $    12,303 | RSI>75
  SELL | 2018-05-01 15:00 | $     8,912 | Cap: $    12,426 | RSI<30
   BUY | 2018-05-03 17:00 | $     9,613 | Cap: $    12,426 | RSI>75
  SELL | 2018-05-06 12:00 | $     9,537 | Cap: $    12,328 | RSI<30
   BUY | 2018-05-10 05:00 | $     9,350 | Cap: $    12,328 | RSI>75
  SELL | 2018-05-11 | $     9,002 | Cap: $    11,869 | RSI<30
   BUY | 2018-05-20 19:00 | $     8,531 | Cap: $    11,869 | RSI>75
  SELL | 2018-05-22 02:00 | $     8,274 | Cap: $    11,512 | RSI<30
   BUY | 2018-05-29 21:00 | $     7,499 | Cap: $    11,512 | RSI>75
  SELL | 2018-06-04 07:00 | $     7,579 | Cap: $    11,634 | RSI<30
   BUY | 2018-06-07 14:00 | $     7,699 | Cap: $    11,634 | RSI>75
  SELL | 2018-06-08 13:00 | $     7,552 | Cap: $    11,412 | RSI<30
   BUY | 2018-06-18 22:00 | $     6,723 | Cap: $    11,412 | RSI>75
  SELL | 2018-06-22 08:00 | $     6,500 | Cap: $    11,032 | RSI<30
   BUY | 2018-06-29 23:00 | $     6,247 | Cap: $    11,032 | RSI>75
  SELL | 2018-07-10 09:00 | $     6,582 | Cap: $    11,624 | RSI<30
   BUY | 2018-07-16 10:00 | $     6,528 | Cap: $    11,624 | RSI>75
  SELL | 2018-07-26 23:00 | $     7,917 | Cap: $    14,098 | RSI<30
   BUY | 2018-08-15 04:00 | $     6,290 | Cap: $    14,098 | RSI>75
  SELL | 2018-08-18 21:00 | $     6,357 | Cap: $    14,248 | RSI<30
   BUY | 2018-08-22 02:00 | $     6,809 | Cap: $    14,248 | RSI>75
  SELL | 2018-08-22 23:00 | $     6,351 | Cap: $    13,290 | RSI<30
   BUY | 2018-08-28 | $     6,907 | Cap: $    13,290 | RSI>75
  SELL | 2018-08-30 18:00 | $     6,867 | Cap: $    13,213 | RSI<30
   BUY | 2018-09-01 10:00 | $     7,071 | Cap: $    13,213 | RSI>75
  SELL | 2018-09-05 10:00 | $     7,092 | Cap: $    13,253 | RSI<30
   BUY | 2018-09-13 12:00 | $     6,468 | Cap: $    13,253 | RSI>75
  SELL | 2018-09-17 15:00 | $     6,355 | Cap: $    13,022 | RSI<30
   BUY | 2018-09-20 16:00 | $     6,418 | Cap: $    13,022 | RSI>75
  SELL | 2018-09-24 07:00 | $     6,645 | Cap: $    13,483 | RSI<30
   BUY | 2018-09-27 20:00 | $     6,669 | Cap: $    13,483 | RSI>75
  SELL | 2018-09-29 05:00 | $     6,509 | Cap: $    13,159 | RSI<30
   BUY | 2018-10-08 13:00 | $     6,666 | Cap: $    13,159 | RSI>75
  SELL | 2018-10-10 06:00 | $     6,555 | Cap: $    12,940 | RSI<30
   BUY | 2018-10-15 06:00 | $     6,698 | Cap: $    12,940 | RSI>75
  SELL | 2018-10-16 04:00 | $     6,731 | Cap: $    13,004 | RSI<30
   BUY | 2018-10-21 16:00 | $     6,645 | Cap: $    13,004 | RSI>75
  SELL | 2018-10-25 02:00 | $     6,513 | Cap: $    12,746 | RSI<30
   BUY | 2018-11-07 01:00 | $     6,565 | Cap: $    12,746 | RSI>75
  SELL | 2018-11-09 10:00 | $     6,437 | Cap: $    12,497 | RSI<30
   BUY | 2018-11-28 13:00 | $     4,195 | Cap: $    12,497 | RSI>75
  SELL | 2018-11-30 14:00 | $     4,040 | Cap: $    12,036 | RSI<30
   BUY | 2018-12-01 17:00 | $     4,276 | Cap: $    12,036 | RSI>75
  SELL | 2018-12-03 16:00 | $     3,883 | Cap: $    10,928 | RSI<30
   BUY | 2018-12-17 13:00 | $     3,410 | Cap: $    10,928 | RSI>75
  SELL | 2018-12-21 23:00 | $     3,819 | Cap: $    12,239 | RSI<30
   BUY | 2018-12-28 17:00 | $     3,816 | Cap: $    12,239 | RSI>75
  SELL | 2019-01-03 20:00 | $     3,756 | Cap: $    12,046 | RSI<30
   BUY | 2019-01-06 18:00 | $     4,007 | Cap: $    12,046 | RSI>75
  SELL | 2019-01-10 07:00 | $     3,780 | Cap: $    11,362 | RSI<30
   BUY | 2019-01-14 16:00 | $     3,631 | Cap: $    11,362 | RSI>75
  SELL | 2019-01-15 21:00 | $     3,534 | Cap: $    11,060 | RSI<30
   BUY | 2019-01-19 11:00 | $     3,698 | Cap: $    11,060 | RSI>75
  SELL | 2019-01-20 12:00 | $     3,580 | Cap: $    10,707 | RSI<30
   BUY | 2019-02-08 16:00 | $     3,506 | Cap: $    10,707 | RSI>75
  SELL | 2019-02-24 15:00 | $     3,790 | Cap: $    11,573 | RSI<30
   BUY | 2019-03-05 14:00 | $     3,846 | Cap: $    11,573 | RSI>75
  SELL | 2019-03-21 15:00 | $     3,910 | Cap: $    11,765 | RSI<30
   BUY | 2019-03-22 12:00 | $     3,987 | Cap: $    11,765 | RSI>75
  SELL | 2019-03-25 19:00 | $     3,917 | Cap: $    11,557 | RSI<30
   BUY | 2019-03-27 10:00 | $     3,997 | Cap: $    11,557 | RSI>75
  SELL | 2019-04-04 18:00 | $     4,871 | Cap: $    14,085 | RSI<30
   BUY | 2019-04-06 17:00 | $     5,150 | Cap: $    14,085 | RSI>75
  SELL | 2019-04-11 16:00 | $     4,994 | Cap: $    13,659 | RSI<30
   BUY | 2019-04-15 | $     5,131 | Cap: $    13,659 | RSI>75
  SELL | 2019-04-15 20:00 | $     5,007 | Cap: $    13,328 | RSI<30
   BUY | 2019-04-17 12:00 | $     5,218 | Cap: $    13,328 | RSI>75
  SELL | 2019-04-25 23:00 | $     5,215 | Cap: $    13,321 | RSI<30
   BUY | 2019-05-01 02:00 | $     5,338 | Cap: $    13,321 | RSI>75
  SELL | 2019-05-17 04:00 | $     7,344 | Cap: $    18,329 | RSI<30
   BUY | 2019-05-19 05:00 | $     7,950 | Cap: $    18,329 | RSI>75
  SELL | 2019-05-31 13:00 | $     8,333 | Cap: $    19,211 | RSI<30
   BUY | 2019-06-01 02:00 | $     8,567 | Cap: $    19,211 | RSI>75
  SELL | 2019-06-03 09:00 | $     8,457 | Cap: $    18,964 | RSI<30
   BUY | 2019-06-07 16:00 | $     7,928 | Cap: $    18,964 | RSI>75
  SELL | 2019-06-09 18:00 | $     7,634 | Cap: $    18,261 | RSI<30
   BUY | 2019-06-10 20:00 | $     7,948 | Cap: $    18,261 | RSI>75
  SELL | 2019-06-27 16:00 | $    11,830 | Cap: $    27,181 | RSI<30
   BUY | 2019-07-03 02:00 | $    11,353 | Cap: $    27,181 | RSI>75
  SELL | 2019-07-10 22:00 | $    11,970 | Cap: $    28,657 | RSI<30
   BUY | 2019-07-20 20:00 | $    10,899 | Cap: $    28,657 | RSI>75
  SELL | 2019-07-21 17:00 | $    10,356 | Cap: $    27,229 | RSI<30
   BUY | 2019-07-27 01:00 | $    10,142 | Cap: $    27,229 | RSI>75
  SELL | 2019-07-27 22:00 | $     9,520 | Cap: $    25,558 | RSI<30
   BUY | 2019-07-31 16:00 | $    10,050 | Cap: $    25,558 | RSI>75
  SELL | 2019-08-10 18:00 | $    11,383 | Cap: $    28,950 | RSI<30
   BUY | 2019-08-19 23:00 | $    10,772 | Cap: $    28,950 | RSI>75
  SELL | 2019-08-21 05:00 | $    10,210 | Cap: $    27,438 | RSI<30
   BUY | 2019-09-02 14:00 | $     9,889 | Cap: $    27,438 | RSI>75
  SELL | 2019-09-07 09:00 | $    10,385 | Cap: $    28,814 | RSI<30
   BUY | 2019-09-12 14:00 | $    10,336 | Cap: $    28,814 | RSI>75
  SELL | 2019-09-16 13:00 | $    10,148 | Cap: $    28,290 | RSI<30
   BUY | 2019-09-20 01:00 | $    10,224 | Cap: $    28,290 | RSI>75
  SELL | 2019-09-21 10:00 | $    10,000 | Cap: $    27,671 | RSI<30
   BUY | 2019-10-01 03:00 | $     8,412 | Cap: $    27,671 | RSI>75
  SELL | 2019-10-05 15:00 | $     8,033 | Cap: $    26,422 | RSI<30
   BUY | 2019-10-07 16:00 | $     8,177 | Cap: $    26,422 | RSI>75
  SELL | 2019-10-12 02:00 | $     8,310 | Cap: $    26,850 | RSI<30
   BUY | 2019-10-20 20:00 | $     8,235 | Cap: $    26,850 | RSI>75
  SELL | 2019-10-23 04:00 | $     7,954 | Cap: $    25,932 | RSI<30
   BUY | 2019-10-25 16:00 | $     8,263 | Cap: $    25,932 | RSI>75
  SELL | 2019-10-26 23:00 | $     9,149 | Cap: $    28,714 | RSI<30
   BUY | 2019-11-10 23:00 | $     9,082 | Cap: $    28,714 | RSI>75
  SELL | 2019-11-11 14:00 | $     8,723 | Cap: $    27,578 | RSI<30
   BUY | 2019-11-26 03:00 | $     7,136 | Cap: $    27,578 | RSI>75
  SELL | 2019-11-27 10:00 | $     6,887 | Cap: $    26,614 | RSI<30
   BUY | 2019-11-28 07:00 | $     7,504 | Cap: $    26,614 | RSI>75
  SELL | 2019-12-01 01:00 | $     7,481 | Cap: $    26,530 | RSI<30
   BUY | 2019-12-18 21:00 | $     7,112 | Cap: $    26,530 | RSI>75
  SELL | 2019-12-30 17:00 | $     7,257 | Cap: $    27,073 | RSI<30
   BUY | 2020-01-07 01:00 | $     7,890 | Cap: $    27,073 | RSI>75
  SELL | 2020-01-08 22:00 | $     8,017 | Cap: $    27,511 | RSI<30
   BUY | 2020-01-14 04:00 | $     8,462 | Cap: $    27,511 | RSI>75
  SELL | 2020-01-19 23:00 | $     8,643 | Cap: $    28,101 | RSI<30
   BUY | 2020-01-26 21:00 | $     8,570 | Cap: $    28,101 | RSI>75
  SELL | 2020-01-31 15:00 | $     9,264 | Cap: $    30,378 | RSI<30
   BUY | 2020-02-05 16:00 | $     9,484 | Cap: $    30,378 | RSI>75
  SELL | 2020-02-15 16:00 | $     9,983 | Cap: $    31,976 | RSI<30
   BUY | 2020-02-19 11:00 | $    10,125 | Cap: $    31,976 | RSI>75
  SELL | 2020-02-20 | $     9,595 | Cap: $    30,301 | RSI<30
   BUY | 2020-02-23 05:00 | $     9,848 | Cap: $    30,301 | RSI>75
  SELL | 2020-02-24 20:00 | $     9,601 | Cap: $    29,540 | RSI<30
   BUY | 2020-03-02 16:00 | $     8,829 | Cap: $    29,540 | RSI>75
  SELL | 2020-03-07 19:00 | $     8,877 | Cap: $    29,701 | RSI<30
   BUY | 2020-03-19 14:00 | $     5,842 | Cap: $    29,701 | RSI>75
  SELL | 2020-03-28 | $     6,359 | Cap: $    32,328 | RSI<30
   BUY | 2020-03-30 17:00 | $     6,378 | Cap: $    32,328 | RSI>75
  SELL | 2020-04-01 13:00 | $     6,219 | Cap: $    31,524 | RSI<30
   BUY | 2020-04-02 10:00 | $     6,639 | Cap: $    31,524 | RSI>75
  SELL | 2020-04-10 06:00 | $     6,955 | Cap: $    33,021 | RSI<30
   BUY | 2020-04-12 17:00 | $     7,143 | Cap: $    33,021 | RSI>75
  SELL | 2020-04-13 14:00 | $     6,620 | Cap: $    30,604 | RSI<30
   BUY | 2020-04-16 23:00 | $     7,151 | Cap: $    30,604 | RSI>75
  SELL | 2020-04-20 19:00 | $     6,866 | Cap: $    29,384 | RSI<30
   BUY | 2020-04-22 16:00 | $     7,112 | Cap: $    29,384 | RSI>75
  SELL | 2020-05-04 02:00 | $     8,694 | Cap: $    35,919 | RSI<30
   BUY | 2020-05-06 12:00 | $     9,314 | Cap: $    35,919 | RSI>75
  SELL | 2020-05-10 01:00 | $     8,704 | Cap: $    33,565 | RSI<30
   BUY | 2020-05-13 21:00 | $     9,285 | Cap: $    33,565 | RSI>75
  SELL | 2020-05-15 21:00 | $     9,250 | Cap: $    33,439 | RSI<30
   BUY | 2020-05-17 15:00 | $     9,811 | Cap: $    33,439 | RSI>75
  SELL | 2020-05-21 10:00 | $     9,299 | Cap: $    31,693 | RSI<30
   BUY | 2020-05-27 13:00 | $     9,145 | Cap: $    31,693 | RSI>75
  SELL | 2020-06-02 21:00 | $     9,521 | Cap: $    32,996 | RSI<30
   BUY | 2020-06-16 03:00 | $     9,459 | Cap: $    32,996 | RSI>75
  SELL | 2020-06-17 20:00 | $     9,302 | Cap: $    32,450 | RSI<30
   BUY | 2020-06-22 18:00 | $     9,587 | Cap: $    32,450 | RSI>75
  SELL | 2020-06-24 11:00 | $     9,378 | Cap: $    31,743 | RSI<30
   BUY | 2020-07-06 07:00 | $     9,224 | Cap: $    31,743 | RSI>75
  SELL | 2020-07-09 16:00 | $     9,209 | Cap: $    31,688 | RSI<30
   BUY | 2020-07-21 08:00 | $     9,315 | Cap: $    31,688 | RSI>75
  SELL | 2020-08-02 23:00 | $    11,118 | Cap: $    37,822 | RSI<30
   BUY | 2020-08-05 13:00 | $    11,563 | Cap: $    37,822 | RSI>75
  SELL | 2020-08-07 18:00 | $    11,537 | Cap: $    37,735 | RSI<30
   BUY | 2020-08-17 16:00 | $    12,422 | Cap: $    37,735 | RSI>75
  SELL | 2020-08-19 | $    11,945 | Cap: $    36,287 | RSI<30
   BUY | 2020-08-23 02:00 | $    11,645 | Cap: $    36,287 | RSI>75
  SELL | 2020-08-25 07:00 | $    11,613 | Cap: $    36,187 | RSI<30
   BUY | 2020-09-14 14:00 | $    10,644 | Cap: $    36,187 | RSI>75
  SELL | 2020-09-20 13:00 | $    10,851 | Cap: $    36,891 | RSI<30
   BUY | 2020-09-24 17:00 | $    10,672 | Cap: $    36,891 | RSI>75
  SELL | 2020-09-29 | $    10,696 | Cap: $    36,973 | RSI<30
   BUY | 2020-10-08 15:00 | $    10,912 | Cap: $    36,973 | RSI>75
  SELL | 2020-10-13 19:00 | $    11,378 | Cap: $    38,551 | RSI<30
   BUY | 2020-10-19 16:00 | $    11,800 | Cap: $    38,551 | RSI>75
  SELL | 2020-10-28 15:00 | $    13,069 | Cap: $    42,698 | RSI<30
   BUY | 2020-11-04 | $    14,024 | Cap: $    42,698 | RSI>75
  SELL | 2020-11-07 19:00 | $    14,928 | Cap: $    45,452 | RSI<30
   BUY | 2020-11-08 17:00 | $    15,388 | Cap: $    45,452 | RSI>75
  SELL | 2020-11-22 12:00 | $    17,892 | Cap: $    52,847 | RSI<30
   BUY | 2020-11-24 15:00 | $    19,384 | Cap: $    52,847 | RSI>75
  SELL | 2020-11-26 04:00 | $    17,928 | Cap: $    48,877 | RSI<30
   BUY | 2020-11-30 14:00 | $    19,151 | Cap: $    48,877 | RSI>75
  SELL | 2020-12-08 23:00 | $    18,336 | Cap: $    46,797 | RSI<30
   BUY | 2020-12-13 08:00 | $    19,249 | Cap: $    46,797 | RSI>75
  SELL | 2021-01-04 10:00 | $    31,038 | Cap: $    75,457 | RSI<30
   BUY | 2021-01-06 05:00 | $    35,327 | Cap: $    75,457 | RSI>75
  SELL | 2021-01-11 03:00 | $    36,364 | Cap: $    77,672 | RSI<30
   BUY | 2021-01-13 22:00 | $    37,291 | Cap: $    77,672 | RSI>75
  SELL | 2021-01-15 16:00 | $    35,611 | Cap: $    74,172 | RSI<30
   BUY | 2021-01-22 22:00 | $    33,290 | Cap: $    74,172 | RSI>75
  SELL | 2021-01-26 12:00 | $    31,799 | Cap: $    70,849 | RSI<30
   BUY | 2021-01-28 21:00 | $    32,578 | Cap: $    70,849 | RSI>75
  SELL | 2021-01-30 10:00 | $    34,253 | Cap: $    74,493 | RSI<30
   BUY | 2021-02-03 01:00 | $    36,140 | Cap: $    74,493 | RSI>75
  SELL | 2021-02-10 16:00 | $    44,354 | Cap: $    91,425 | RSI<30
   BUY | 2021-02-12 | $    47,969 | Cap: $    91,425 | RSI>75
  SELL | 2021-02-22 13:00 | $    53,784 | Cap: $   102,509 | RSI<30
   BUY | 2021-03-01 13:00 | $    47,914 | Cap: $   102,509 | RSI>75
  SELL | 2021-03-14 18:00 | $    59,701 | Cap: $   127,727 | RSI<30
   BUY | 2021-03-18 07:00 | $    58,910 | Cap: $   127,727 | RSI>75
  SELL | 2021-03-21 10:00 | $    55,961 | Cap: $   121,332 | RSI<30
   BUY | 2021-03-27 | $    55,026 | Cap: $   121,332 | RSI>75
  SELL | 2021-04-04 | $    57,052 | Cap: $   125,801 | RSI<30
   BUY | 2021-04-10 05:00 | $    61,074 | Cap: $   125,801 | RSI>75
  SELL | 2021-04-16 11:00 | $    60,248 | Cap: $   124,098 | RSI<30
